rank,task_id,suite,delta,comparison_mode,mcp_unique,repo,path
30,kafka-batch-accumulator-refac-001,ccb_build,0.36,direct,False,apache/kafka,tasks/ccb_build/kafka-batch-accumulator-refac-001
31,k8s-typemeta-dep-chain-001,ccb_design,0.34,direct,False,,tasks/ccb_design/k8s-typemeta-dep-chain-001
32,openlibrary-fntocli-adapter-fix-001,ccb_fix,0.3333,direct,False,internetarchive/openlibrary,tasks/ccb_fix/openlibrary-fntocli-adapter-fix-001
33,docgen-changelog-002,ccb_document,0.3,direct,False,flipt-io/flipt,tasks/ccb_document/docgen-changelog-002
34,grafana-table-panel-regression-001,ccb_debug,0.3,direct,False,grafana/grafana,tasks/ccb_debug/grafana-table-panel-regression-001
35,flipt-flagexists-refactor-001,ccb_build,0.3,direct,False,flipt-io/flipt,tasks/ccb_build/flipt-flagexists-refactor-001
36,CCX-vuln-remed-011,ccb_mcp_security,0.25,artifact,True,nodejs/node,tasks/ccb_mcp_security/ccx-vuln-remed-011
37,CCX-onboard-050-ds,ccb_mcp_onboarding,0.25,artifact,True,kubernetes/kubernetes,tasks/ccb_mcp_onboarding/ccx-onboard-050-ds
38,k8s-score-normalizer-refac-001,ccb_build,0.2,direct,False,kubernetes/kubernetes,tasks/ccb_build/k8s-score-normalizer-refac-001
39,django-cross-team-boundary-001,ccb_secure,0.2,direct,False,django/django,tasks/ccb_secure/django-cross-team-boundary-001
40,django-repo-scoped-access-001,ccb_secure,0.2,direct,False,django/django,tasks/ccb_secure/django-repo-scoped-access-001
41,prometheus-queue-reshard-debug-001,ccb_debug,0.18,direct,False,prometheus/prometheus,tasks/ccb_debug/prometheus-queue-reshard-debug-001
42,terraform-arch-doc-gen-001,ccb_document,0.17,direct,False,hashicorp/terraform,tasks/ccb_document/terraform-arch-doc-gen-001
43,CCX-explore-042-ds,ccb_mcp_onboarding,0.1668,artifact,True,scikit-learn/scikit-learn,tasks/ccb_mcp_onboarding/ccx-explore-042-ds
44,kafka-message-lifecycle-qa-001,ccb_understand,0.14,direct,False,apache/kafka,tasks/ccb_understand/kafka-message-lifecycle-qa-001
45,envoy-migration-doc-gen-001,ccb_document,0.14,direct,False,envoyproxy/envoy,tasks/ccb_document/envoy-migration-doc-gen-001
46,django-select-for-update-fix-001,ccb_fix,0.11,direct,False,django/django,tasks/ccb_fix/django-select-for-update-fix-001
47,django-rate-limit-design-001,ccb_design,0.1,direct,False,django/django,tasks/ccb_design/django-rate-limit-design-001
48,envoy-cve-triage-001,ccb_secure,0.1,direct,False,envoyproxy/envoy,tasks/ccb_secure/envoy-cve-triage-001
49,django-orm-query-arch-001,ccb_design,0.08,direct,False,django/django,tasks/ccb_design/django-orm-query-arch-001
50,k8s-dra-scheduler-event-fix-001,ccb_fix,0.07,direct,False,kubernetes/kubernetes,tasks/ccb_fix/k8s-dra-scheduler-event-fix-001
51,test-coverage-gap-002,ccb_test,0.06,direct,False,apache/kafka,tasks/ccb_test/test-coverage-gap-002
52,kafka-vuln-reachability-001,ccb_secure,0.06,direct,False,apache/kafka,tasks/ccb_secure/kafka-vuln-reachability-001
53,ansible-abc-imports-fix-001,ccb_fix,0.0571,direct,False,ansible/ansible,tasks/ccb_fix/ansible-abc-imports-fix-001
54,cilium-ebpf-fault-qa-001,ccb_understand,0.05,direct,False,cilium/cilium,tasks/ccb_understand/cilium-ebpf-fault-qa-001
55,python-http-class-naming-refac-001,ccb_build,0.04,direct,False,,tasks/ccb_build/python-http-class-naming-refac-001
56,envoy-grpc-server-impl-001,ccb_build,0.04,direct,False,,tasks/ccb_build/envoy-grpc-server-impl-001
57,postgres-client-auth-audit-001,ccb_secure,0.03,direct,False,postgres/postgres,tasks/ccb_secure/postgres-client-auth-audit-001
58,vscode-api-doc-gen-001,ccb_document,0.02,direct,False,microsoft/vscode,tasks/ccb_document/vscode-api-doc-gen-001
59,cilium-api-doc-gen-001,ccb_document,0.02,direct,False,cilium/cilium,tasks/ccb_document/cilium-api-doc-gen-001
60,k8s-runtime-object-impl-001,ccb_build,0.01,direct,False,,tasks/ccb_build/k8s-runtime-object-impl-001
61,flipt-ecr-auth-oci-fix-001,ccb_fix,0.0082,direct,False,flipt-io/flipt,tasks/ccb_fix/flipt-ecr-auth-oci-fix-001
62,flipt-otlp-exporter-fix-001,ccb_fix,0.0014,direct,False,flipt-io/flipt,tasks/ccb_fix/flipt-otlp-exporter-fix-001
